product_id,review_count,title,main_category,average_rating_meta,rating_number_meta,price,description_text,has_image,raw_images
B07TVHSDMQ,286840,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,AMAZON FASHION,4.7,7,17.99,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/A13usaonutL._CLa%7C500%2C468%7C81ZwUICcscL.png%7C0%2C0%2C500%2C468%2B0.0%2C0.0%2C500.0%2C468.0_AC_SR38,50_.png', 'large': 'https://m.media-amazon.com/images/I/A13usaonutL._CLa%7C500%2C468%7C81ZwUICcscL.png%7C0%2C0%2C500%2C468%2B0.0%2C0.0%2C500.0%2C468.0_AC_.png', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A13usaonutL._CLa%7C2140%2C2000%7C81ZwUICcscL.png%7C0%2C0%2C2140%2C2000%2B0.0%2C0.0%2C2140.0%2C2000.0_AC_UL1500_.png'}, {'thumb': 'https://m.media-amazon.com/images/I/41h33k2C9iL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41h33k2C9iL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71AVtazVc9L._AC_UL1500_.jpg'}]"
B07XFXXZMV,39190,"Hail Satan Unicorn Cat Rainbow, Funny Death Metal Meme Pullover Hoodie",AMAZON FASHION,4.2,2,29.97,"Hail Satan, Get this funny ""Hail Satan"" artwork featuring a cute Satanic Cat Unicorn or Kittycorn with a rainbow and Pentagram, if you love Death Metal, Heavy Metal, Black Metal or Punk Rock Music this is perfect for any Rocker Metalhead to go to hell. Death Metal Unicorn Cat, Men, Women, Kids, Boys and Girls will love this Caticorn gift, if you love Unicorns, Cats, Kittens or have an ironic or sarcastic sense of humor, makes great Emo Witch, Pastel Goth, Atheist or Anti Religion Satanist gifts. Check out ""Hail Satan Unicorn Cat Gift Store"" for more designs.",True,"[{'thumb': 'https://m.media-amazon.com/images/I/B1i3u9-Q-KS._CLa%7C500%2C468%7C41aJJKifP%2BL.png%7C0%2C0%2C500%2C468%2B0.0%2C0.0%2C500.0%2C468.0_AC_SR38,50_.png', 'large': 'https://m.media-amazon.com/images/I/B1i3u9-Q-KS._CLa%7C500%2C468%7C41aJJKifP%2BL.png%7C0%2C0%2C500%2C468%2B0.0%2C0.0%2C500.0%2C468.0_AC_.png', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/B1i3u9-Q-KS._CLa%7C2140%2C2000%7CB1HaV0XAeES.png%7C0%2C0%2C2140%2C2000%2B0.0%2C0.0%2C2140.0%2C2000.0_AC_UL1500_.png'}, {'thumb': 'https://m.media-amazon.com/images/I/31gWQuJ6AlL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31gWQuJ6AlL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61LVSG3xExL._AC_UL1500_.jpg'}]"
B08513YB2T,31107,Crocs Unisex-Adult Classic Clog,AMAZON FASHION,4.8,408371,,"It’s the iconic clog that started a comfort revolution around the worldThe irreverent go-to comfort shoe that you're sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort. All Crocs™ shoes are uniquely designed and manufactured using our proprietary closed-cell resin, Croslite™, a technology that gives each pair of shoes the soft, comfortable, lightweight and non-marking qualities that Crocs™ wearers know and love. Heat: do not expose your Crocs™ shoes to extreme heat or intense sunlight for an extended period of time. Due to the unique nature of the Crocs™ PCCR material, high temperatures may cause them to warp. Crocs shoes should solely be hand washed. If the model features a lining, it is recommended to put the lining in a mesh fabric or use a delicate cycle (of up to 30 °) if you machine wash. Cleaning your Crocs using the washing machine is at your own risk Looking for the ultimate warm-weather shoe? Crocs' Classic clog has a ventilated upper and a traction outsole to make it a top wet-dry performer--perfect for the beach--but we can think of a zillion other places you'll want to wear it.",True,"[{'thumb': 'https://m.media-amazon.com/images/I/31Rb+fr2FjL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31Rb+fr2FjL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/517mUYNWS0L._AC_UL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/312B5spbh8L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/312B5spbh8L._AC_.jpg', 'variant': 'FRNT', 'hi_res': 'https://m.media-amazon.com/images/I/71VbFzu2TIL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Of2ZALLtL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Of2ZALLtL._AC_.jpg', 'variant': 'BACK', 'hi_res': 'https://m.media-amazon.com/images/I/71x56rWbvSL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/414BPLNgRqL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/414BPLNgRqL._AC_.jpg', 'variant': 'BOTT', 'hi_res': 'https://m.media-amazon.com/images/I/71ytB0-gr-L._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/411d2TGYWOL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/411d2TGYWOL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81vA94PxY0L._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/311CAVpEo6L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/311CAVpEo6L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71AzHY8uncL._AC_UL1500_.jpg'}]"
B08R8W8GP9,24146,Andy Griffith Show | Floyd's Barber Shop Classic TV Premium T-Shirt,AMAZON FASHION,3.6,4,23.95,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/91IM87eeuCL._CLa%7C500%2C468%7C81cscHUziWL.png%7C0%2C0%2C500%2C468%2B0.0%2C0.0%2C500.0%2C468.0_AC_SR38,50_.png', 'large': 'https://m.media-amazon.com/images/I/91IM87eeuCL._CLa%7C500%2C468%7C81cscHUziWL.png%7C0%2C0%2C500%2C468%2B0.0%2C0.0%2C500.0%2C468.0_AC_.png', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91IM87eeuCL._CLa%7C2140%2C2000%7C81cscHUziWL.png%7C0%2C0%2C2140%2C2000%2B0.0%2C0.0%2C2140.0%2C2000.0_AC_UL1500_.png'}, {'thumb': 'https://m.media-amazon.com/images/I/41Ay1jYS51L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Ay1jYS51L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71GTvk9iSQL._AC_UL1500_.jpg'}]"
B0B7BCQ5TH,23542,SATINA High Waisted Leggings for Women - Capri & Full Length Women's Leggings,AMAZON FASHION,4.3,94389,18.99,"The SATINA High Waisted High Capri Leggings are made of the super soft SATINA _peach skinÓ fabric. Theyre so soft and comfortable, you wont want to take them off. The high waist capris elongate your torso and flattens out any unwanted rolls for tummy control. The high waistband is stretchy and supportive offering the perfect balance of support and comfort. The SATINA High Waisted Non-See Through Capri Leggings has you covered. Dont worry about that embarrassing see-through in even the trickiest yoga postures. Breathe easily without feeling like you need to suck-in your stomach all day because the thick and stretchy material firmly holds everything in. The SATINA High Waisted Capris are made of thick and high quality sweat wicking fabric.",True,"[{'thumb': 'https://m.media-amazon.com/images/I/31wdnIxLSHL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31wdnIxLSHL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61oUKneTnAL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/219By-YyGTL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/219By-YyGTL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/51jEEa2YZGL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/416by3TtgBL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/416by3TtgBL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/618p6pbW2VL._AC_UL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41AU8nEQqDL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41AU8nEQqDL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71S49gyGvfL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/414pXVVu7qS._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/414pXVVu7qS._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/81wkkTg9wbS._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51fadP9dHiL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51fadP9dHiL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/91aoZv5mtsL._AC_UL1500_.jpg'}]"
B07QTVKNNQ,18215,Dickies Men's Dri-tech Moisture Control Crew Socks Multipack,AMAZON FASHION,4.7,202338,20.7,"Dickies dri-tech comfort Pairs crew with wicking, moisture management fibers keeps feet dry, ventilation channels engineered for air circulation and moisture control, arch compression hugs feet and keeps socks in place, while providing in-step support, Reciprocated heel and toe for superior fit and full cushion comfort.",True,"[{'thumb': 'https://m.media-amazon.com/images/I/41kfiXvAAoL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41kfiXvAAoL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91cYxqBxehL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/511rF3Qu+kL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/511rF3Qu+kL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/918rtisirVL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41m13+Md78L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41m13+Md78L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71jP+AUOvML._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51aJGDwIloL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51aJGDwIloL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71Hkt-bwEFL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51DXbTzdgCL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51DXbTzdgCL._AC_.jpg', 'variant': 'FACT', 'hi_res': 'https://m.media-amazon.com/images/I/81wP6lCQNvL._AC_UL1500_.jpg'}]"
B08134XNNB,17095,Women's Walking Shoes Sock Sneakers - Mesh Slip On Air Cushion Lady Girls Modern Jazz Dance Easy Shoes Platform Loafers,AMAZON FASHION,4.0,99389,34.99,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/41YJgUoE7AL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41YJgUoE7AL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61yRzHzzFgL._AC_UL1001_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51O33V9QtkL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51O33V9QtkL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71ryoSQCwcL._AC_UL1001_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51Byf4LCYDL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Byf4LCYDL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71AaOZh8IzL._AC_UL1001_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41otVHhSSGL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41otVHhSSGL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61dKVSJKc7L._AC_UL1001_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41yv8Rv0LkL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41yv8Rv0LkL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61Mubomho+L._AC_UL1001_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41vlcHjUq7L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41vlcHjUq7L._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/51VJGkiGJjL._AC_UL1001_.jpg'}]"
B0C5Y5NC8M,16871,Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall),AMAZON FASHION,4.5,114648,46.22,"Straight-cut waistband sits just below the waist. Sits evenly on both the front and back. Classic, five-pocket design. Leather brand patch at back waist. Signature arcuate stitch at back pockets. Belt loop waistband. Zip fly and button closure. 100% cotton. Machine wash cold, tumble dry low. Imported.",True,"[{'thumb': 'https://m.media-amazon.com/images/I/414s45Gws2L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/414s45Gws2L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81fsgWbmKJL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31nmx++2HIL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/31nmx++2HIL._AC_.jpg', 'variant': 'SIDE', 'hi_res': 'https://m.media-amazon.com/images/I/61pb+B9gCXL._AC_UL1123_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41OnEXlfGgL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41OnEXlfGgL._AC_.jpg', 'variant': 'BACK', 'hi_res': 'https://m.media-amazon.com/images/I/61A70hIk1CL._AC_UL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41tf7ryUw8L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41tf7ryUw8L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/516GcSN7jXL._AC_UL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51IkcKxkAZL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51IkcKxkAZL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61I9Lp7dLLL._AC_UL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51IkcKxkAZL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51IkcKxkAZL._AC_.jpg', 'variant': 'PT10', 'hi_res': 'https://m.media-amazon.com/images/I/61I9Lp7dLLL._AC_UL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/516QSbMv8mL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/516QSbMv8mL._AC_.jpg', 'variant': 'PT99', 'hi_res': None}]"
B00975EAJ6,16520,"LOCK LACES - Elastic No Tie Shoelaces, One Size Fits All",AMAZON FASHION,4.6,79574,9.99,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/31sFg7I+anL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31sFg7I+anL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51rgckeLGeL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41qZh1AsmKL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41qZh1AsmKL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/715XD5bnoML._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51+j0I1a56L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51+j0I1a56L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71hdA9572hL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51iJIpvxTNL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51iJIpvxTNL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71myUEcQHzL._AC_SL1400_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51KElUPzYUL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51KElUPzYUL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/718Ek75y4kL._AC_SL1400_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41jC2yVl0-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41jC2yVl0-L._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/81TsFxWp9UL._AC_SL1500_.jpg'}]"
B07BZGVBF7,16237,Clarks Women's Breeze Sea Flip-Flop,AMAZON FASHION,4.7,43900,31.62,"CLARKS BREEZE SEA - This lightweight Cloudsteppers™ flip flop benefits from a hook and loop closure that ensures a secure fit. An EVA midsole helps it feel weightless and an airy EVA footbed absorbs shock without adding weight.Clarks Breeze Sea – Dieser leichte Cloudsteppers™ Flip-Flop profitiert von einem Klettverschluss für einen sicheren Sitz. Eine EVA-Mittelsohle hilft ihm sich schwerelos anzufühlen und ein luftiges EVA-Fußbett absorbiert Stöße ohne zusätzliches Gewicht hinzuzufügen.CLARKS BREEZE SEA - הכפכף קל המשקל הזה Cloudsteppers™ מרוויח מסגירת וו ולולאה המבטיחה התאמה בטוחה. סוליה אמצעית EVA מסייעת לה להרגיש חסרת משקל ומדרס EVA אוורירי סופג זעזועים מבלי להוסיף משקל.Clarks Breeze Sea – Este chinelo leve Cloudsteppers™ se beneficia de um fecho de velcro que garante um ajuste seguro. Uma entressola de EVA ajuda a sentir peso e uma palmilha de EVA respirável absorve o choque sem adicionar peso.Clarks BreezE SEA - 这款轻质 Cloudsteppers™ 人字拖采用钩环闭合设计,确保安全贴合。 EVA 中底帮助它感觉轻盈，透气的 EVA 鞋垫可吸收冲击力而不增加重量。CLARKS BREEZE SEA - 這款輕量 Cloudsteppers™ 人字拖採用鉤環閉合,確保安全貼合。 EVA 中底有助於感覺輕盈,透氣的 EVA 鞋墊可以吸收衝擊,而不會增加重量。클라크 브리즈 씨 - 이 가벼운 Cloudsteppers™ 플립플롭은 안전한 착용감을 보장하는 후크 앤 루프 클로저의 이점을 제공합니다. EVA 중창은 무게가 느껴지지 않으며 공기가 잘 통하는 EVA 풋 베드는 무게를 더하지 않고 충격을 흡수합니다.",True,"[{'thumb': 'https://m.media-amazon.com/images/I/31zrKj2Hz0L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31zrKj2Hz0L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71UoO5QwnPL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51mvVzeCGpL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51mvVzeCGpL._AC_.jpg', 'variant': 'FRNT', 'hi_res': 'https://m.media-amazon.com/images/I/61JBVVLkhGL._AC_UL1188_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41hg6zasIWL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41hg6zasIWL._AC_.jpg', 'variant': 'BACK', 'hi_res': 'https://m.media-amazon.com/images/I/612CWew+gnL._AC_UL1368_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41rMLQiWZ2L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41rMLQiWZ2L._AC_.jpg', 'variant': 'BOTT', 'hi_res': 'https://m.media-amazon.com/images/I/814twATqdQL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31hdU0XAEvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31hdU0XAEvL._AC_.jpg', 'variant': 'TOPP', 'hi_res': 'https://m.media-amazon.com/images/I/71MgkIhcbKL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31bXZQshBSL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31bXZQshBSL._AC_.jpg', 'variant': 'RGHT', 'hi_res': 'https://m.media-amazon.com/images/I/71BX8JvGjfL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/417HBQNXT9L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/417HBQNXT9L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81zEJv9CvpL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31uvG2E9INL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31uvG2E9INL._AC_.jpg', 'variant': 'PAIR', 'hi_res': 'https://m.media-amazon.com/images/I/71EuGMoEIEL._AC_UL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31Qp4qaSYmL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31Qp4qaSYmL._AC_.jpg', 'variant': 'LEFT', 'hi_res': 'https://m.media-amazon.com/images/I/71Khr1XPLzL._AC_UL1500_.jpg'}]"
